                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.9195,                  2.137,                 2.4197,                0.60758,                0.61793,                0.65283,                0.31835,                 1.8584,                 1.6891,                 2.3682,               0.000703,               0.000703,               0.000703
                     47,                 1.8997,                 2.1778,                 2.4032,                0.48883,                0.63977,                0.64909,                 0.3416,                 1.7746,                 1.7739,                 2.3267,              0.0006964,              0.0006964,              0.0006964
                     48,                 1.9252,                 2.1429,                 2.4288,                0.51966,                0.58976,                0.61555,                0.28004,                 1.8593,                 1.7202,                 2.3995,              0.0006898,              0.0006898,              0.0006898
                     49,                 1.9039,                 2.1283,                 2.4164,                0.58263,                0.66911,                0.67113,                0.32668,                 1.8709,                 1.6784,                    2.4,              0.0006832,              0.0006832,              0.0006832
                     50,                 1.8693,                 2.0504,                 2.3399,                 0.7738,                0.49032,                0.66893,                0.31384,                 1.8444,                 1.6999,                  2.319,              0.0006766,              0.0006766,              0.0006766
                     51,                 1.8542,                 2.1035,                 2.3571,                0.58909,                0.60674,                0.65268,                0.29542,                 1.8628,                 1.7855,                 2.3539,                0.00067,                0.00067,                0.00067
                     52,                 1.8662,                  2.035,                 2.3411,                0.56512,                0.57406,                0.58466,                0.26072,                 1.8574,                  1.829,                 2.3301,              0.0006634,              0.0006634,              0.0006634
                     53,                  1.838,                 2.0188,                 2.3183,                0.54977,                0.68183,                 0.6696,                0.33022,                 1.7813,                 1.6272,                 2.2814,              0.0006568,              0.0006568,              0.0006568
                     54,                 1.8511,                  1.997,                 2.3275,                0.62874,                0.65541,                0.72726,                0.36489,                 1.8116,                 1.6181,                 2.2977,              0.0006502,              0.0006502,              0.0006502
                     55,                 1.8614,                 2.0649,                 2.3295,                0.55813,                0.65622,                0.60788,                0.29242,                 1.8053,                 1.7018,                 2.2874,              0.0006436,              0.0006436,              0.0006436
                     56,                 1.8561,                 2.0046,                 2.3177,                0.61787,                0.67609,                0.69711,                0.33414,                 1.8016,                 1.6437,                 2.3136,               0.000637,               0.000637,               0.000637
                     57,                 1.8179,                 1.9759,                 2.3026,                0.64313,                0.57898,                0.62869,                0.31021,                 1.8097,                 1.7341,                 2.2937,              0.0006304,              0.0006304,              0.0006304
                     58,                 1.8062,                 1.9573,                 2.3169,                0.58158,                0.70255,                0.68068,                0.31591,                 1.8292,                  1.565,                 2.3293,              0.0006238,              0.0006238,              0.0006238
                     59,                  1.825,                 1.9812,                 2.3133,                0.80295,                0.55705,                0.69358,                0.33795,                 1.7394,                 1.6141,                 2.2578,              0.0006172,              0.0006172,              0.0006172
                     60,                 1.8307,                 1.9806,                 2.3245,                0.59167,                 0.6536,                0.65103,                 0.3155,                 1.8256,                 1.5937,                 2.3062,              0.0006106,              0.0006106,              0.0006106
                     61,                 1.8531,                 1.8969,                 2.2929,                0.80411,                0.57379,                0.68868,                 0.3577,                 1.7791,                 1.5441,                  2.276,               0.000604,               0.000604,               0.000604
                     62,                  1.853,                 1.9585,                 2.3185,                0.56484,                0.69347,                0.63464,                0.31182,                 1.8008,                  1.632,                 2.3086,              0.0005974,              0.0005974,              0.0005974
                     63,                 1.8155,                  1.978,                 2.3212,                0.47112,                0.68355,                0.62069,                0.26584,                 1.9602,                  1.718,                 2.3512,              0.0005908,              0.0005908,              0.0005908
                     64,                 1.8148,                 1.9337,                  2.297,                0.51716,                0.70972,                0.67656,                0.31133,                 1.8484,                 1.6153,                 2.3014,              0.0005842,              0.0005842,              0.0005842
                     65,                 1.8367,                 1.9503,                 2.3078,                0.55439,                0.69841,                0.69061,                0.34916,                 1.7877,                 1.6801,                 2.2776,              0.0005776,              0.0005776,              0.0005776
                     66,                 1.8441,                 1.9749,                  2.302,                0.53063,                0.67485,                 0.6843,                0.32724,                 1.7837,                 1.6402,                 2.2752,               0.000571,               0.000571,               0.000571
                     67,                 1.8037,                  1.896,                   2.27,                0.54302,                0.71539,                0.66751,                 0.3153,                 1.8256,                 1.5619,                 2.2661,              0.0005644,              0.0005644,              0.0005644
                     68,                 1.7791,                 1.8966,                 2.2583,                 0.5712,                0.59123,                0.64653,                0.31396,                 1.8127,                 1.6043,                  2.295,              0.0005578,              0.0005578,              0.0005578
                     69,                 1.8187,                 1.8461,                 2.2494,                0.55346,                0.71314,                0.67585,                0.32241,                 1.8353,                 1.5945,                  2.231,              0.0005512,              0.0005512,              0.0005512
                     70,                 1.7641,                 1.8172,                  2.233,                0.78286,                0.58477,                0.70678,                0.35632,                 1.7389,                  1.519,                 2.1883,              0.0005446,              0.0005446,              0.0005446
                     71,                 1.7968,                 1.8623,                 2.2544,                0.55359,                0.68093,                 0.7056,                0.38074,                 1.7048,                 1.4873,                 2.1594,               0.000538,               0.000538,               0.000538
                     72,                 1.7641,                 1.8462,                 2.2252,                0.52421,                0.70857,                0.68132,                0.34376,                 1.7292,                 1.5105,                 2.1892,              0.0005314,              0.0005314,              0.0005314
                     73,                  1.734,                 1.7995,                 2.1937,                0.60379,                0.64336,                0.68322,                0.32324,                 1.8466,                 1.5482,                  2.258,              0.0005248,              0.0005248,              0.0005248
                     74,                 1.7647,                 1.8314,                 2.2248,                0.66161,                0.67357,                0.74633,                0.36448,                   1.78,                 1.4672,                 2.2397,              0.0005182,              0.0005182,              0.0005182
                     75,                 1.7803,                 1.7725,                 2.2429,                0.57937,                0.68776,                0.69296,                0.35619,                 1.7818,                 1.4755,                 2.2611,              0.0005116,              0.0005116,              0.0005116
                     76,                 1.7664,                 1.8227,                 2.1842,                0.61972,                0.67898,                0.70672,                0.36589,                 1.7197,                 1.4677,                 2.1471,               0.000505,               0.000505,               0.000505
                     77,                 1.7356,                 1.7704,                 2.2106,                0.49618,                0.75656,                0.68905,                0.34982,                 1.7627,                 1.4796,                 2.2217,              0.0004984,              0.0004984,              0.0004984
                     78,                  1.749,                 1.8043,                 2.2018,                0.63373,                0.63346,                 0.7163,                0.35487,                 1.7541,                 1.5483,                 2.2122,              0.0004918,              0.0004918,              0.0004918
                     79,                 1.7459,                 1.8409,                 2.2097,                0.60731,                0.66818,                0.69614,                0.34599,                  1.783,                 1.5174,                 2.2122,              0.0004852,              0.0004852,              0.0004852
                     80,                 1.7768,                 1.8107,                 2.2433,                0.65376,                0.63508,                0.71637,                0.33294,                 1.8021,                 1.4998,                 2.2604,              0.0004786,              0.0004786,              0.0004786
                     81,                 1.7641,                 1.7684,                 2.1903,                0.56099,                0.74279,                0.70062,                 0.3585,                 1.7024,                 1.5454,                 2.1688,               0.000472,               0.000472,               0.000472
                     82,                 1.7347,                 1.7648,                  2.177,                0.55711,                 0.7317,                0.69098,                0.37316,                 1.7065,                 1.4872,                 2.1796,              0.0004654,              0.0004654,              0.0004654
                     83,                 1.7325,                 1.7594,                 2.1839,                0.61706,                0.74545,                0.73841,                 0.3739,                 1.7122,                 1.4622,                 2.1834,              0.0004588,              0.0004588,              0.0004588
                     84,                 1.7208,                 1.8029,                  2.173,                   0.64,                0.67049,                0.70364,                0.36648,                 1.7016,                 1.4721,                 2.1402,              0.0004522,              0.0004522,              0.0004522
                     85,                 1.7312,                 1.8036,                  2.194,                0.61839,                 0.7394,                0.72233,                0.37808,                 1.7128,                 1.4417,                 2.1778,              0.0004456,              0.0004456,              0.0004456
                     86,                 1.6893,                 1.7382,                 2.1701,                0.60269,                0.73903,                0.70587,                0.35242,                 1.7636,                 1.4827,                 2.1873,               0.000439,               0.000439,               0.000439
                     87,                 1.6865,                 1.7471,                 2.1478,                0.69608,                0.73095,                0.74092,                0.38019,                 1.7232,                 1.4015,                 2.1768,              0.0004324,              0.0004324,              0.0004324
                     88,                 1.7424,                 1.7538,                 2.1671,                0.63119,                0.71473,                0.70891,                0.34459,                 1.7856,                 1.5002,                 2.2298,              0.0004258,              0.0004258,              0.0004258
                     89,                 1.7241,                 1.7702,                 2.1776,                0.59355,                0.66597,                0.70612,                0.33106,                 1.7733,                 1.5049,                 2.2175,              0.0004192,              0.0004192,              0.0004192
                     90,                  1.728,                 1.7523,                 2.1662,                 0.6136,                0.72202,                0.68154,                0.35571,                 1.7372,                 1.4809,                 2.1576,              0.0004126,              0.0004126,              0.0004126
                     91,                 1.7135,                 1.7571,                 2.1858,                0.77388,                0.61629,                0.72663,                0.33429,                 1.8526,                 1.5889,                 2.2957,               0.000406,               0.000406,               0.000406
