                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.2622,                   1.09,                 1.2667,                 0.7155,                0.78252,                 0.8058,                0.42504,                 1.7464,                 1.1201,                 1.5324,             0.00023407,             0.00023407,             0.00023407
                     78,                 1.3018,                 1.1193,                 1.2797,                0.70341,                0.79005,                0.79931,                0.39296,                 1.8883,                 1.1797,                 1.6065,             0.00022507,             0.00022507,             0.00022507
                     79,                 1.2771,                 1.1379,                 1.2655,                0.76506,                0.74731,                0.79756,                0.37327,                 1.9367,                 1.2076,                 1.6565,             0.00021607,             0.00021607,             0.00021607
                     80,                 1.2696,                 1.0917,                 1.2691,                 0.7202,                0.75199,                0.79438,                0.40386,                 1.8439,                 1.1606,                 1.6422,             0.00020707,             0.00020707,             0.00020707
                     81,                  1.265,                 1.0912,                 1.2626,                0.75055,                 0.7509,                0.80887,                0.42505,                 1.8175,                 1.1431,                 1.6254,             0.00019807,             0.00019807,             0.00019807
                     82,                 1.2539,                 1.0511,                 1.2562,                0.72761,                0.76392,                0.80089,                0.42098,                 1.7887,                  1.138,                 1.5661,             0.00018907,             0.00018907,             0.00018907
                     83,                 1.2576,                 1.0547,                 1.2548,                0.77216,                0.75747,                0.79353,                0.42368,                 1.7948,                 1.1586,                 1.5712,             0.00018007,             0.00018007,             0.00018007
                     84,                  1.273,                 1.0738,                 1.2657,                0.78271,                0.75168,                0.80402,                0.42886,                 1.7748,                  1.155,                 1.5459,             0.00017107,             0.00017107,             0.00017107
                     85,                 1.2711,                 1.0795,                 1.2646,                0.74754,                0.76042,                0.78424,                0.42234,                 1.7409,                 1.1243,                 1.5377,             0.00016207,             0.00016207,             0.00016207
                     86,                 1.2336,                 1.0762,                 1.2418,                0.71205,                0.79629,                0.80114,                0.43506,                  1.736,                 1.1062,                 1.5145,             0.00015308,             0.00015308,             0.00015308
                     87,                 1.2248,                 1.0446,                 1.2378,                0.67595,                0.78373,                0.77481,                0.40795,                 1.8184,                 1.1365,                 1.5815,             0.00014408,             0.00014408,             0.00014408
                     88,                 1.2723,                 1.0813,                 1.2601,                0.71894,                0.79076,                0.78255,                0.41944,                 1.7841,                 1.0992,                 1.5672,             0.00013508,             0.00013508,             0.00013508
                     89,                 1.2111,                 1.0139,                 1.2341,                0.68236,                0.81835,                0.79453,                0.40638,                  1.826,                 1.1832,                 1.5959,             0.00012608,             0.00012608,             0.00012608
                     90,                 1.2288,                0.99851,                 1.2386,                0.72095,                0.76981,                0.77978,                0.41752,                 1.8265,                 1.1895,                 1.5982,             0.00011708,             0.00011708,             0.00011708
                     91,                 1.2234,                0.99194,                 1.2647,                0.71869,                0.78117,                0.78559,                0.40173,                 1.8549,                 1.1924,                 1.6163,             0.00010808,             0.00010808,             0.00010808
                     92,                 1.2363,                0.99515,                 1.2647,                0.69546,                0.76704,                0.78237,                 0.4127,                 1.8014,                 1.1233,                 1.6006,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     93,                 1.2048,                0.94566,                 1.2489,                0.72258,                0.73967,                 0.7811,                0.41959,                 1.7764,                 1.1638,                 1.5517,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     94,                 1.1833,                0.95597,                 1.2456,                0.69991,                0.77247,                0.78824,                0.42495,                 1.7673,                 1.1084,                 1.5556,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     95,                  1.175,                0.93327,                 1.2358,                 0.6886,                0.78795,                0.77617,                0.41559,                 1.7968,                 1.1332,                 1.5857,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     96,                  1.185,                0.96253,                 1.2576,                0.71438,                 0.7463,                0.76753,                0.41783,                 1.7813,                  1.159,                 1.5756,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     97,                 1.1578,                0.91814,                 1.2337,                0.68012,                0.77077,                0.78256,                0.42062,                 1.7859,                 1.1486,                 1.5712,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     98,                 1.1769,                0.94851,                 1.2325,                0.69434,                0.77185,                0.77444,                0.40547,                 1.8339,                 1.1638,                 1.6057,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     99,                 1.1587,                0.94187,                 1.2408,                0.71236,                 0.7618,                0.79723,                0.41375,                 1.8193,                 1.1693,                    1.6,             3.6087e-05,             3.6087e-05,             3.6087e-05
                    100,                 1.1269,                0.89363,                  1.229,                0.70877,                0.76758,                0.79094,                0.40676,                 1.8386,                 1.1622,                 1.6169,             2.7088e-05,             2.7088e-05,             2.7088e-05
