                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 2.2732,                 3.0596,                  2.899,                0.55152,                0.35543,                0.41731,                0.17238,                 2.1835,                 2.6633,                  2.935,              0.0007921,              0.0007921,              0.0007921
                     45,                 2.2487,                 3.0551,                 2.8914,                0.52192,                 0.2702,                0.33574,                0.14622,                 2.3639,                 2.7783,                 3.0781,             0.00078715,             0.00078715,             0.00078715
                     46,                 2.2393,                 3.1075,                 2.8934,                 0.5628,                0.44035,                0.51294,                0.18711,                 2.3172,                 2.5576,                  3.013,              0.0007822,              0.0007822,              0.0007822
                     47,                 2.3238,                 3.1919,                 2.9288,                0.65851,                0.48887,                0.54083,                0.25984,                 2.1419,                 2.4651,                 2.8024,             0.00077725,             0.00077725,             0.00077725
                     48,                 2.3182,                 3.0755,                 2.9256,                0.50173,                0.62197,                0.57974,                0.27442,                 2.0286,                 2.6123,                 2.7799,              0.0007723,              0.0007723,              0.0007723
                     49,                 2.2793,                 2.9612,                 2.8806,                0.43451,                0.56515,                0.52798,                0.25266,                 2.0623,                 2.7634,                 2.7847,             0.00076735,             0.00076735,             0.00076735
                     50,                 2.2661,                 3.0354,                 2.8871,                0.49614,                0.62753,                0.50937,                0.21793,                 2.2537,                 2.4871,                 2.9064,              0.0007624,              0.0007624,              0.0007624
                     51,                 2.2169,                 3.0368,                 2.8515,                 0.5986,                 0.3908,                0.50356,                0.19781,                 2.2502,                 2.5095,                 2.9129,             0.00075745,             0.00075745,             0.00075745
                     52,                 2.2407,                 2.9805,                 2.8384,                0.35449,                0.55682,                0.44946,                0.22139,                 2.1444,                 2.4588,                 2.8484,              0.0007525,              0.0007525,              0.0007525
                     53,                 2.2735,                 3.0254,                 2.8411,                0.41659,                0.57551,                0.46674,                0.24193,                 2.0435,                   2.39,                 2.7261,             0.00074755,             0.00074755,             0.00074755
                     54,                 2.1933,                 3.0567,                  2.838,                0.46434,                0.58463,                0.54015,                0.25458,                 2.0629,                 2.3066,                 2.7508,              0.0007426,              0.0007426,              0.0007426
                     55,                 2.2329,                 3.0042,                  2.824,                0.55198,                0.55742,                 0.4984,                0.20667,                 2.1349,                 2.7306,                 2.8529,             0.00073765,             0.00073765,             0.00073765
                     56,                 2.2389,                 3.1083,                 2.8571,                0.40104,                0.46937,                0.43786,                0.19685,                 2.0398,                 3.7512,                 2.7417,              0.0007327,              0.0007327,              0.0007327
                     57,                 2.2566,                 3.0086,                 2.8126,                0.44771,                0.54539,                0.44836,                0.19149,                 2.0438,                 3.4231,                 2.7351,             0.00072775,             0.00072775,             0.00072775
                     58,                 2.1931,                 2.9177,                   2.83,                0.31137,                0.56584,                0.55041,                0.25995,                 2.0967,                 2.3281,                 2.8252,              0.0007228,              0.0007228,              0.0007228
                     59,                 2.1577,                 2.8871,                 2.8173,                0.58439,                0.59165,                0.55938,                0.23098,                 2.0874,                 2.2537,                 2.7892,             0.00071785,             0.00071785,             0.00071785
                     60,                 2.1177,                 2.7915,                 2.7336,                0.68541,                0.45163,                0.60174,                 0.2603,                 2.0801,                 2.1655,                 2.8102,              0.0007129,              0.0007129,              0.0007129
                     61,                  2.149,                 2.9508,                 2.7573,                0.61395,                0.46921,                 0.5643,                0.19808,                 2.2014,                 2.6374,                 2.9479,             0.00070795,             0.00070795,             0.00070795
                     62,                  2.213,                 2.9545,                 2.7956,                0.56511,                0.56439,                0.49725,                0.25284,                 1.9812,                 2.4003,                 2.6851,               0.000703,               0.000703,               0.000703
                     63,                 2.1124,                 3.0181,                 2.7624,                0.65789,                0.55656,                0.59808,                0.29381,                  2.036,                 2.3784,                 2.7671,             0.00069805,             0.00069805,             0.00069805
                     64,                 2.2005,                 3.0103,                 2.8435,                0.55555,                0.60051,                0.58826,                0.29252,                 2.0319,                 2.7965,                 2.7403,              0.0006931,              0.0006931,              0.0006931
                     65,                 2.1591,                 2.8977,                 2.7675,                0.52159,                0.60619,                0.52957,                0.23781,                 2.0234,                 2.3897,                 2.7111,             0.00068815,             0.00068815,             0.00068815
                     66,                 2.0742,                 2.8829,                 2.6988,                0.53245,                0.51101,                 0.5423,                0.24267,                 2.0516,                 2.4161,                 2.7062,              0.0006832,              0.0006832,              0.0006832
                     67,                  2.135,                 2.8024,                 2.7051,                0.55387,                  0.563,                0.60431,                0.30798,                 2.0265,                 2.0529,                 2.6578,             0.00067825,             0.00067825,             0.00067825
                     68,                 2.1617,                 2.8053,                 2.7994,                0.50312,                0.53414,                0.55251,                0.25459,                 2.0301,                 2.1223,                 2.6563,              0.0006733,              0.0006733,              0.0006733
                     69,                 2.1111,                 2.7264,                 2.7176,                 0.4829,                0.51503,                0.49592,                0.23709,                 2.0475,                 2.2335,                 2.6928,             0.00066835,             0.00066835,             0.00066835
                     70,                  2.054,                 2.6704,                 2.6619,                 0.4994,                0.59482,                0.57314,                0.28099,                 1.9271,                 2.1398,                 2.6227,              0.0006634,              0.0006634,              0.0006634
                     71,                 2.0281,                 2.6631,                 2.6638,                0.51824,                 0.6423,                0.58277,                0.25249,                 1.9865,                 2.1523,                 2.6489,             0.00065845,             0.00065845,             0.00065845
                     72,                 2.0838,                 2.7276,                 2.6866,                0.44336,                0.67629,                0.50363,                0.23558,                 1.9503,                 2.2615,                 2.6664,              0.0006535,              0.0006535,              0.0006535
                     73,                 2.0886,                 2.6736,                 2.7029,                0.52955,                0.55543,                0.53478,                0.28575,                 1.9597,                   2.26,                   2.65,             0.00064855,             0.00064855,             0.00064855
                     74,                 2.1127,                 2.6603,                   2.71,                 0.5879,                0.54381,                0.60077,                0.26937,                 1.9472,                 2.2409,                 2.6202,              0.0006436,              0.0006436,              0.0006436
                     75,                 2.0652,                 2.6978,                 2.7054,                0.52031,                0.62114,                0.59968,                0.27732,                 2.0099,                 2.0562,                 2.6665,             0.00063865,             0.00063865,             0.00063865
                     76,                 2.0561,                 2.5629,                  2.655,                0.41325,                0.71856,                0.54709,                0.27812,                 1.9603,                 2.0829,                 2.6204,              0.0006337,              0.0006337,              0.0006337
                     77,                 2.0727,                 2.7272,                 2.6991,                0.59919,                0.54028,                0.58748,                0.28125,                 1.9532,                 2.1921,                  2.653,             0.00062875,             0.00062875,             0.00062875
                     78,                  2.059,                 2.7184,                 2.6479,                0.48178,                0.60518,                0.56416,                0.26859,                 2.1333,                 2.4451,                 2.7748,              0.0006238,              0.0006238,              0.0006238
                     79,                 2.0614,                 2.6763,                 2.6704,                0.57648,                 0.6786,                0.66348,                0.30841,                  1.945,                 2.6889,                 2.6184,             0.00061885,             0.00061885,             0.00061885
                     80,                 2.1301,                 2.7867,                 2.6684,                0.45983,                0.62867,                0.61299,                0.29194,                 2.0092,                 2.2207,                 2.6871,              0.0006139,              0.0006139,              0.0006139
                     81,                 2.0514,                 2.6815,                 2.6818,                 0.6049,                0.62898,                0.59114,                0.30502,                 2.0521,                 2.0834,                 2.7009,             0.00060895,             0.00060895,             0.00060895
                     82,                 2.1052,                 2.6935,                 2.6476,                0.38277,                0.75626,                0.53449,                0.26029,                 1.9369,                 2.1446,                 2.6058,               0.000604,               0.000604,               0.000604
                     83,                 2.0498,                 2.8038,                 2.6498,                0.46261,                0.68106,                0.54785,                0.24566,                 2.0092,                 2.1233,                 2.7248,             0.00059905,             0.00059905,             0.00059905
                     84,                 2.0509,                 2.7278,                 2.6846,                0.49455,                0.56995,                 0.4892,                 0.2355,                 2.0547,                 2.2072,                 2.7148,              0.0005941,              0.0005941,              0.0005941
                     85,                 2.0179,                 2.6446,                 2.6354,                0.50381,                0.60861,                0.53357,                0.26453,                 2.0155,                 2.3008,                 2.7132,             0.00058915,             0.00058915,             0.00058915
                     86,                 2.0171,                 2.6926,                 2.6369,                0.40052,                0.55066,                0.52741,                0.23398,                  2.042,                 2.5664,                 2.7902,              0.0005842,              0.0005842,              0.0005842
