                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.6659,                   1.68,                 2.1906,                0.56412,                0.71869,                0.68871,                0.34441,                 1.8537,                 1.5733,                  2.496,              0.0005545,              0.0005545,              0.0005545
                     56,                  1.692,                 1.6954,                 2.2128,                0.62528,                0.74278,                0.78029,                0.37623,                 1.8696,                 1.4519,                 2.5667,             0.00054625,             0.00054625,             0.00054625
                     57,                 1.6312,                 1.6642,                 2.1579,                0.61183,                0.72528,                0.72433,                0.35061,                 1.8455,                 1.5392,                 2.4685,               0.000538,               0.000538,               0.000538
                     58,                 1.6915,                 1.6531,                  2.174,                0.64271,                0.70482,                 0.7075,                0.33611,                 1.9266,                 1.5631,                 2.5772,             0.00052975,             0.00052975,             0.00052975
                     59,                 1.6299,                 1.6456,                 2.1693,                0.67515,                0.71454,                0.76792,                0.35714,                 1.8576,                 1.5251,                 2.5419,              0.0005215,              0.0005215,              0.0005215
                     60,                 1.6041,                 1.6087,                 2.1251,                 0.6544,                0.74694,                0.74525,                  0.344,                 1.9192,                 1.5194,                 2.6033,             0.00051325,             0.00051325,             0.00051325
                     61,                 1.6192,                 1.5844,                 2.1842,                0.68611,                0.67125,                0.71904,                0.37556,                 1.8229,                 1.5347,                 2.4718,               0.000505,               0.000505,               0.000505
                     62,                 1.6304,                 1.6746,                 2.1709,                0.72987,                0.69761,                0.73461,                0.36278,                 1.8603,                 1.4597,                 2.5064,             0.00049675,             0.00049675,             0.00049675
                     63,                 1.6359,                 1.5967,                 2.1852,                0.67494,                0.72796,                0.74967,                0.35447,                 1.8843,                 1.4244,                 2.5489,              0.0004885,              0.0004885,              0.0004885
                     64,                 1.6233,                 1.5603,                  2.099,                0.73457,                0.74355,                0.77582,                0.37495,                 1.8373,                 1.4248,                 2.5081,             0.00048025,             0.00048025,             0.00048025
                     65,                 1.6342,                 1.5905,                 2.1123,                0.71331,                0.74731,                0.74988,                0.37523,                 1.8941,                 1.4212,                 2.5359,               0.000472,               0.000472,               0.000472
                     66,                 1.5879,                  1.535,                 2.0778,                0.66835,                0.73693,                0.75849,                0.38562,                 1.8545,                  1.431,                 2.5319,             0.00046375,             0.00046375,             0.00046375
                     67,                 1.6193,                 1.5907,                  2.125,                0.66906,                0.74352,                0.78713,                0.37008,                 1.9418,                 1.4772,                 2.5607,              0.0004555,              0.0004555,              0.0004555
                     68,                 1.6098,                 1.5031,                 2.1172,                0.68323,                0.76214,                0.77856,                 0.4166,                 1.7497,                 1.3648,                 2.3946,             0.00044725,             0.00044725,             0.00044725
                     69,                 1.6032,                 1.5419,                 2.0932,                0.63781,                0.72677,                0.73702,                0.36793,                 1.8991,                 1.4835,                  2.532,               0.000439,               0.000439,               0.000439
                     70,                 1.5889,                 1.5689,                 2.1085,                0.68408,                0.77019,                 0.7736,                0.40458,                 1.7858,                 1.3896,                 2.4581,             0.00043075,             0.00043075,             0.00043075
                     71,                 1.5919,                 1.5675,                 2.0674,                0.70106,                0.75965,                0.76683,                0.38257,                 1.8255,                 1.4376,                 2.4301,              0.0004225,              0.0004225,              0.0004225
                     72,                 1.5493,                 1.5013,                  2.085,                0.70865,                0.68724,                0.74821,                0.37431,                 1.8194,                 1.4492,                 2.5044,             0.00041425,             0.00041425,             0.00041425
                     73,                 1.6199,                  1.546,                 2.0739,                0.72242,                0.75589,                0.78442,                0.40069,                  1.779,                 1.3548,                 2.4515,               0.000406,               0.000406,               0.000406
                     74,                 1.5891,                 1.5422,                 2.1153,                0.70815,                0.70931,                  0.757,                0.37507,                 1.8494,                 1.4922,                 2.4782,             0.00039775,             0.00039775,             0.00039775
                     75,                 1.5794,                 1.4756,                 2.0859,                0.75341,                0.73567,                0.80921,                0.42004,                  1.778,                 1.3778,                 2.3878,              0.0003895,              0.0003895,              0.0003895
                     76,                 1.5443,                 1.4763,                 2.0434,                0.67325,                0.69348,                0.75468,                0.38065,                 1.8781,                 1.4512,                 2.5079,             0.00038125,             0.00038125,             0.00038125
                     77,                 1.5539,                 1.4933,                 2.0729,                0.75637,                0.67775,                0.74023,                 0.3733,                 1.8498,                  1.523,                 2.5601,               0.000373,               0.000373,               0.000373
                     78,                 1.5727,                  1.487,                 2.0497,                0.70685,                0.75673,                0.77892,                0.39505,                 1.8306,                 1.3786,                 2.4799,             0.00036475,             0.00036475,             0.00036475
                     79,                 1.5992,                 1.5593,                 2.0669,                0.71968,                 0.7561,                0.78687,                 0.3718,                 1.8904,                  1.384,                  2.516,              0.0003565,              0.0003565,              0.0003565
                     80,                 1.5391,                 1.4808,                 2.0529,                0.73209,                0.74571,                0.76952,                0.38005,                 1.8651,                 1.4029,                 2.5242,             0.00034825,             0.00034825,             0.00034825
                     81,                  1.538,                 1.4965,                 2.0446,                0.68379,                0.76004,                0.76335,                0.40871,                 1.7887,                 1.3461,                 2.4436,                0.00034,                0.00034,                0.00034
                     82,                 1.5659,                 1.4986,                 2.0825,                0.79678,                0.70801,                0.76083,                 0.3883,                 1.7975,                 1.3916,                  2.492,             0.00033175,             0.00033175,             0.00033175
